year,site,nest,species,ring,code,mate_ring,mate_code,chick1,chick2,chick3,mol_sex_focal,mol_sex_mate,captured_focalyear_focal,captured_focalyear_mate,comments_stdfile,error.p,error.ch,field_sex_focal,field_sex_mate,nest.id,year.cr,year.mr,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,northing,easting,no_chicks,clutch_size,hatch_date,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,bf.quality,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen
2015,Andavadoaka,404,KiP,FH68731,L.L|M.L,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-404,2013,2013,14-03-15,01-05-15,23-03-15,23-03-15,23-03-15,23-03-15,313,314,326,Abandoned,7556278,320982,0,2,NA,13-03-15,14-03-15,26-03-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-03-15,NA,14-03-15,01-05-15
2015,Andavadoaka,409,MP,FH68893,B.K|M.B,FH68757,Y.M|Y.K,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-MP-Andavadoaka-409,2015,2013,NA,NA,14-04-15,14-04-15,14-04-15,14-04-15,406,409,417,Predated,7555927,321056,0,2,NA,06-04-15,09-04-15,17-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06-04-15,NA,14-04-15,14-04-15
2015,Andavadoaka,665,KiP,FH73176,L.M|Y.Y,FH73575,R.M|L.G,FH73574,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2015-KiP-Andavadoaka-665,2015,2015,NA,NA,16-05-15,16-05-15,16-05-15,16-05-15,426,428,520,HATCH,7554649,321041,1,2,20-05-15,26-04-15,28-04-15,20-05-15,20-05-15,NA,NA,NA,NA,1,NA,NA,NA,520,520,520,NA,NA,NA,NA,NA,NA,20-05-15,20-05-15,20-05-15,NA,20-05-15,6.7,20,6.2,NA,NA,NA,NA,NA,NA,NA,NA,20,20-05-15,2.059,20-05-15,22-04-15,17-05-15,26-04-15,-3.059,16-05-15,16-05-15
2012,Andavadoaka,-118,KiP,FH68844,O.G|M.R,NA,NA,FH68845,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2012-KiP-Andavadoaka--118,2012,2012,NA,NA,17-05-12,17-05-12,17-05-12,17-05-12,NA,NA,NA,NA,NA,NA,NA,NA,16-05-12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-05-12,7.5,20.6,6,NA,NA,NA,NA,NA,NA,NA,NA,20.6,17-05-12,3.571,17-05-12,18-04-12,13-05-12,18-04-12,NA,17-05-12,17-05-12
2015,Andavadoaka,108,WfP,FH69253,B.L|M.W,FH47227,B.Y|O.M,FH73515,FH73516,FH73519,F,M,yes,yes,NA,NA,NA,F,NA,2015-WfP-Andavadoaka-108,2012,2012,07-03-15,27-03-15,22-04-15,22-04-15,22-04-15,22-04-15,326,327,421,HATCH,7556079,319803,NA,3,20-04-15,26-03-15,27-03-15,21-04-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-04-15,6.6,17.9,6.02,20-04-15,6.1,18.6,6.08,21-04-15,6.7,17.1,5.59,18.6,20-04-15,-1.469,20-04-15,26-03-15,20-04-15,26-03-15,0,07-03-15,22-04-15
2015,Andavadoaka,628,KiP,FH72958,L.M|O.G,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-628,2015,2015,NA,NA,27-04-15,27-04-15,27-04-15,27-04-15,416,418,511,HATCH,7554662,321033,NA,2,NA,16-04-15,18-04-15,11-05-15,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-04-15,NA,27-04-15,27-04-15
2014,Andavadoaka,322,KiP,FH72919,B.M|L.B,FH72843,O.M|B.L,NA,NA,NA,M,F,yes,yes,NA,NA,NA,M,NA,2014-KiP-Andavadoaka-322,2014,2014,05-05-14,05-05-14,08-04-14,08-04-14,08-04-14,08-04-14,401,403,416,DESER,7560367,323595,NA,2,NA,01-04-14,03-04-14,16-04-14,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-04-14,NA,08-04-14,05-05-14
2010,Andavadoaka,1,MP,FH47602,O.R|O.M,FH47604,G.B|W.M,FH47603,FH47421,NA,F,F,yes,yes,two females as parents,NA,NA,F,NA,2010-MP-Andavadoaka-1,2010,2010,NA,NA,NA,NA,NA,NA,NA,217,219,HATCH,7556788,320079,2,0,19-02-10,NA,17-02-10,19-02-10,19-02-10,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-02-10,7.5,20.2,7.3,23-02-10,7.1,21.5,6.5,NA,NA,NA,NA,21.5,23-02-10,5.839,23-02-10,23-01-10,17-02-10,23-01-10,NA,NA,NA
2015,Andavadoaka,-7,WfP,NA,YY.X|YG.X,YY.X|YB.X,YY.X|YB.X,Y.X|B.X,NA,NA,F,F,yes,yes,two females as parents,NA,NA,F,NA,2015-WfP-Andavadoaka--7,2015,NA,NA,NA,19-05-15,18-06-15,19-05-15,18-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616,616,NA,0,1,NA,NA,NA,616,616,616,NA,16-06-15,16-06-15,NA,NA,NA,16-06-15,16-06-15,16-06-15,NA,10-06-15,12.8,30,19.1,NA,NA,NA,NA,NA,NA,NA,NA,30,10-06-15,27.259,10-06-15,18-04-15,13-05-15,18-04-15,NA,19-05-15,18-06-15
2014,Andavadoaka,18,KiP,FH72499,R.B|Y.M,NA,NA,NA,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2014-KiP-Andavadoaka-18,2014,2014,NA,NA,17-03-14,17-03-14,17-03-14,17-03-14,311,316,411,DESER,7554360,320943,NA,2,NA,11-03-14,16-03-14,11-04-14,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-03-14,NA,17-03-14,17-03-14
