year,site,nest,species,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.res.bs,last.res.bs,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2006,C,23,SP,U,U,622,NA,NA,CA003,NA,NA,NA,NA,NA,NA,NA,NA,F,M,RX.MX|YX.GX,2006-C-23,2006,2006,2006-RX.MX|YX.GX,NA,NA,25-05-06,22-06-06,25-05-06,22-06-06,622,622,NA,UNKNOWN,23.95983333,-106.91555,NA,2,22-06-06,22-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-06-06,NA,NA,NA,25-05-06,22-06-06,F,NA
2006,C,24,SP,U,U,621,NA,NA,CA082,CA280,NA,NA,NA,NA,NA,NA,NA,F,M,WX.MX|OX.RX,2006-C-24,2006,2006,2006-WX.MX|OX.RX,NA,NA,06-06-06,29-06-06,06-06-06,29-06-06,621,622,NA,UNKNOWN,23.95956667,-106.9151833,NA,3,21-06-06,22-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-06-06,NA,NA,NA,06-06-06,29-06-06,f,M
2006,C,25,SP,U,U,619,NA,NA,CA266,CA301,NA,NA,NA,NA,NA,NA,NA,F,M,YX.MX|WX.YX,2006-C-25,2006,2006,2006-YX.MX|WX.YX,NA,NA,29-06-06,29-06-06,29-06-06,29-06-06,619,622,703,ABAN,23.95953333,-106.9151,NA,3,19-06-06,22-06-06,03-07-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-06-06,NA,NA,NA,29-06-06,29-06-06,F,F
2006,C,26,SP,U,U,626,NA,NA,CA314,NA,NA,NA,NA,NA,NA,NA,NA,F,M,YX.MX|WX.BX,2006-C-26,2006,2006,2006-YX.MX|WX.BX,NA,NA,07-07-06,07-07-06,07-07-06,07-07-06,626,623,NA,UNKNOWN,23.95936667,-106.9139,NA,3,26-06-06,23-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-06-06,NA,NA,NA,07-07-06,07-07-06,F,NA
2006,C,27,SP,U,U,615,NA,NA,802109771,CA235,NA,NA,NA,NA,NA,NA,NA,F,M,WX.BX|RX.BM,2006-C-27,2006,2006,2006-WX.BX|RX.BM,NA,NA,07-07-06,07-07-06,07-07-06,07-07-06,615,623,NA,UNKNOWN,23.9601,-106.9145167,NA,3,15-06-06,23-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-06-06,NA,NA,NA,07-07-06,07-07-06,NA,M
2006,C,30,SP,U,U,612,707,NA,CA310,802109780,CA313,CA315,CA321,NA,NA,NA,NA,F,M,YX.MX|RX.BX,2006-C-30,2006,2006,2006-YX.MX|RX.BX,NA,NA,04-07-06,04-07-06,04-07-06,04-07-06,612,623,707,HATCH,23.95935,-106.9176,3,3,12-06-06,23-06-06,07-07-06,07-07-06,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07-07-06,NA,15.6,5.8,07-07-06,NA,16.7,6.2,07-07-06,NA,16.5,6.1,16.7,07-07-06,-2.935275081,07-07-06,14-06-06,12-06-06,2.935275081,NA,NA,04-07-06,04-07-06,F,NA
2006,C,31,SP,U,U,613,NA,NA,CA234,802109714,NA,NA,NA,NA,NA,NA,NA,F,M,WX.MX|BX.OX,2006-C-31,2006,2006,2006-WX.MX|BX.OX,NA,NA,23-06-06,23-06-06,23-06-06,23-06-06,613,623,NA,UNKNOWN,23.95908333,-106.9181,NA,3,13-06-06,23-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-06-06,NA,NA,NA,23-06-06,23-06-06,F,NA
2006,C,32,SP,U,U,620,NA,NA,CA012,CA030,NA,NA,NA,NA,NA,NA,NA,F,M,RX.MX|LX.BX,2006-C-32,2006,2006,2006-RX.MX|LX.BX,NA,NA,27-05-06,03-07-06,27-05-06,03-07-06,620,623,NA,UNKNOWN,23.95838333,-106.9168833,NA,2,20-06-06,23-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-06-06,NA,NA,NA,27-05-06,03-07-06,F,M
2006,C,33,SP,U,U,618,NA,NA,CA015,CA253,NA,NA,NA,NA,NA,NA,NA,F,M,RX.MX|LX.GX,2006-C-33,2006,2006,2006-RX.MX|LX.GX,NA,NA,28-05-06,29-06-06,28-05-06,29-06-06,618,626,NA,UNKNOWN,23.96041667,-106.9136833,NA,3,18-06-06,26-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-06-06,NA,NA,NA,28-05-06,29-06-06,F,M
2006,C,34,SP,U,U,626,NA,NA,CA1526,NA,NA,NA,NA,NA,NA,NA,"female was CA1528, but in captures it is CA1526 and in BirdRef as well (CCI 2016)",F,M,YX.RX|YX.LM,2006-C-34,2006,2006,2006-YX.RX|YX.LM,NA,NA,02-06-06,29-06-06,02-06-06,29-06-06,626,629,NA,UNKNOWN,23.96101667,-106.9143333,NA,2,26-06-06,29-06-06,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-06-06,NA,NA,NA,02-06-06,29-06-06,F,NA
