year,site,nest,species,ring,mate_ring,chick1,chick2,chick3,field_sex_focal,captured_focalyear_focal,field_sex_mate,captured_focalyear_mate,comments_field,comments_stdfile,code,nest.id,year.cr,year.mr,first.res,last.res,first.cap.r,last.cap.r,fate,northing,easting,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,times.adult.not.seen,total.brood.res,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2008,S,-28,KP,CA1183,CA1181,CA1184,CA1185,NA,M,yes,F,yes,NA,NA,MX.RX|OX.OX,2008-S--28,2008,2008,NA,NA,07-10-08,07-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,2,08-10-08,13-10-08,NA,NA,NA,08-10-08,13-10-08,13-10-08,NA,08-10-08,7.7,21,6,08-10-08,8.2,21.6,5.4,NA,NA,NA,NA,21.6,08-10-08,5.422222222,08-10-08,07-09-08,02-10-08,07-09-08,NA,07-10-08,13-10-08,M,F
2008,S,-3,KP,CA1149,CA1074,CA1075,NA,NA,M,yes,F,yes,NA,NA,MX.RX|LX.BX,2008-S--3,2008,2008,06-10-08,06-11-08,02-10-08,02-10-08,NA,NA,NA,NA,NA,NA,NA,NA,2,3,02-10-08,02-10-08,NA,NA,NA,26-09-08,02-10-08,02-10-08,NA,26-09-08,9,23.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,23.7,26-09-08,10.08888889,26-09-08,21-08-08,15-09-08,21-08-08,NA,02-10-08,06-11-08,M,F
2008,S,-36,KP,CA1017,MX.OX|YX.YX,CA1194,NA,NA,M,yes,F,no,NA,NA,BX.MX|BX.GX,2008-S--36,2007,2007,07-11-08,07-11-08,13-10-08,13-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,6,11-10-08,08-11-08,NA,NA,NA,11-10-08,08-11-08,01-11-08,08-11-08,09-10-08,8.5,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,09-10-08,6.088888889,09-10-08,07-09-08,02-10-08,07-09-08,NA,11-10-08,08-11-08,M,NA
2008,S,-4,KP,CA1077,CA1076,CA1078,CA1079,NA,M,yes,F,yes,NA,NA,MX.OX|LX.BX,2008-S--4,2008,2008,NA,NA,26-09-08,26-09-08,NA,NA,NA,NA,NA,NA,NA,NA,0,1,26-09-08,26-09-08,NA,NA,NA,26-09-08,26-09-08,26-09-08,NA,26-09-08,7.7,21.5,5.6,26-09-08,7.9,20.9,5.1,NA,NA,NA,NA,21.5,26-09-08,5.2,26-09-08,26-08-08,20-09-08,26-08-08,NA,26-09-08,26-09-08,M,F
2008,S,-42,KP,CA2626,CA2625,CA2623,CA2624,NA,M,yes,F,yes,NA,NA,MX.RX|WX.YX,2008-S--42,2008,2008,07-11-08,07-11-08,15-10-08,15-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,1,27-10-08,27-10-08,NA,NA,NA,27-10-08,27-10-08,NA,27-10-08,15-10-08,7.5,21.2,4.8,15-10-08,8.5,21.9,5.6,NA,NA,NA,NA,21.9,15-10-08,6.088888889,15-10-08,13-09-08,08-10-08,13-09-08,NA,15-10-08,07-11-08,M,F
2008,S,-44,KP,CA1057,CA2629,CA2630,CA2631,NA,M,yes,F,yes,NA,NA,MX.RX|BX.LX,2008-S--44,2007,2007,NA,NA,16-10-08,16-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-10-08,8,20.5,6.7,16-10-08,7.5,20.2,6.4,NA,NA,NA,NA,20.5,16-10-08,2.977777778,16-10-08,18-09-08,13-10-08,18-09-08,NA,16-10-08,16-10-08,M,F
2008,S,-46,KP,CA2633,NA,CA2634,CA2636,NA,M,yes,F,no,NA,NA,MX.RX|YX.BX,2008-S--46,2008,2008,04-11-08,21-12-08,18-10-08,18-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,4,19-10-08,30-10-08,NA,NA,NA,19-10-08,30-10-08,29-10-08,30-10-08,18-10-08,7.1,19.3,6.4,18-10-08,7.2,21.1,6.8,NA,NA,NA,NA,21.1,18-10-08,4.311111111,18-10-08,18-09-08,13-10-08,18-09-08,NA,18-10-08,21-12-08,M,NA
2008,S,-47,KP,CA2643,CA2640,CA2637,CA2641,CA2644,M,yes,F,yes,NA,NA,MX.RX|YX.OX,2008-S--47,2008,2008,NA,NA,20-10-08,20-10-08,NA,NA,NA,NA,NA,NA,NA,NA,1,5,24-10-08,13-11-08,NA,NA,NA,22-10-08,13-11-08,06-11-08,13-11-08,20-10-08,9.5,21.6,7,20-10-08,9.7,21.1,6.8,20-10-08,9.2,21.2,7.3,21.6,20-10-08,5.422222222,20-10-08,19-09-08,14-10-08,19-09-08,NA,20-10-08,13-11-08,M,F
2008,S,-49,KP,CA2653,CA2655,CA2654,NA,NA,M,yes,F,yes,NA,NA,MX.OX|WX.BX,2008-S--49,2008,2008,NA,NA,28-10-08,28-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-10-08,9.2,21.6,7.4,NA,NA,NA,NA,NA,NA,NA,NA,21.6,28-10-08,5.422222222,28-10-08,27-09-08,22-10-08,27-09-08,NA,28-10-08,28-10-08,M,F
2008,S,-5,KP,CA1059,MX.RX|BX.OX,CA1081,NA,NA,M,no,F,no,NA,NA,MX.RX|BX.RX,2008-S--5,2007,2007,03-10-08,04-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,26-09-08,29-10-08,18-10-08,NA,NA,26-09-08,29-10-08,28-09-08,30-09-08,26-09-08,7.9,20.5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,20.5,26-09-08,2.977777778,26-09-08,29-08-08,23-09-08,29-08-08,NA,26-09-08,04-11-08,M,NA
